% Model:              3D_7lay_aniso_h.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 22 2018, 15:33
% Dimension:          1
% Nodes:              100
% Expressions:        11
% Description:        Temperature
% cln1x                   T (K) @ t=0              T (K) @ t=3              T (K) @ t=6              T (K) @ t=9              T (K) @ t=12             T (K) @ t=15             T (K) @ t=18             T (K) @ t=21             T (K) @ t=24             T (K) @ t=27             T (K) @ t=30
42                        293.1500000000008        294.2999303726705        298.6015108072431        303.4107842186902        307.8614147494451        311.80839770296575       315.2561795706464        318.24793725898525       320.8367156285279        323.0751681695452        325.01158685211493
42.800000000000004        293.1500000000004        294.1738179505719        298.22215647994153       302.85532481554316       307.19491176664286       311.071142787916         314.4723901793643        317.4323690801069        319.9985910510274        322.2204310774644        324.1442004706176
43.6                      293.1499999999999        294.05696859766687       297.85855708832673       302.31660739253033       306.5447543077331        310.34942987376          313.7032324343889        316.6305359523723        319.1733696032999        321.3778483172515        323.2883055115085
44.400000000000006        293.14999999999935       293.9498854678925        297.5115011687532        301.795438067064         305.9117334524059        309.64403513268854       312.94947118715635       315.8431944908149        318.3618019015687        320.54816606563          322.4446447917103
45.199999999999996        293.1499999999991        293.85175856743024       297.1798677563926        301.2908162381771        305.2949677277799        308.95415960437714       312.2103627417275        315.0696386243888        317.56320820037865       319.73072354974005       321.6125716118872
46                        293.14999999999895       293.76258789627974       296.86365685124474       300.80274190586954       304.69445713385494       308.27980328882563       311.4859070981022        314.30986835309386       316.77758849972946       318.92552076958145       320.79208597203876
46.8                      293.14999999999895       293.6823734544413        296.56286845330976       300.3312150701412        304.11020167063083       307.62096618603397       310.7761042562805        313.56388367693023       316.00494279962135       318.1325577251542        319.9831878721653
47.599999999999994        293.1499999999992        293.6111152419145        296.2775025625876        299.8762357309922        303.54220133810776       306.97764829600226       310.0809542162623        312.83168459589785       315.2452711000541        317.3518344164583        319.1858773122666
48.4                      293.1499999999993        293.5488132586998        296.0075591790782        299.43780388842237       302.99045613628573       306.3498496187304        309.40045697804766       312.1132711099966        314.4985734010278        316.5833508434938        318.4001542923427
49.2                      293.14999999999986       293.49546750479703       295.7530383027819        299.0159195424321        302.45496606516474       305.7375701542186        308.7346125416367        311.40864321922686       313.7648497025426        315.8271070062607        317.6260188123939
50                        293.15000000000043       293.451077980206         295.51393993369805       298.61058269302083       301.9357311247446        305.1408099024665        308.0834209070291        310.717800923588         313.0441000045981        315.0831029047589        316.8634708724196
50.8                      293.1500000000002        293.4294375914204        295.40944640730663       298.43499486509813       301.7111143455153        304.8826024309606        307.8014712190913        310.41844383257444       312.7315346624753        314.7602138341333        316.5323128908712
51.6                      293.15000000000015       293.4088439609642        295.3086408371414        298.26467213803846       301.49257586658916       304.6308553692521        307.5261268031601        310.12570895278657       312.42554195984286       314.443815712581         316.2075511642955
